Device Category,Country,Date,Session
desktop,Angola,2020-12-09,2
desktop,Angola,2021-02-05,1
desktop,Argentina,2020-01-29,1
desktop,Argentina,2020-04-19,1
desktop,Argentina,2020-06-21,1
desktop,Argentina,2020-06-25,1
desktop,Argentina,2020-07-30,1
desktop,Argentina,2020-08-26,1
desktop,Argentina,2020-09-11,1
desktop,Argentina,2020-09-25,1
desktop,Argentina,2020-10-04,1
desktop,Argentina,2021-01-26,1
desktop,Argentina,2021-02-01,1
desktop,Argentina,2021-02-18,2
desktop,Argentina,2021-02-19,1
desktop,Armenia,2019-03-03,1
desktop,Armenia,2019-11-16,1
desktop,Armenia,2020-10-31,1
desktop,Aruba,2019-09-20,1
desktop,Australia,2019-02-09,1
desktop,Australia,2019-03-21,1
desktop,Australia,2019-04-09,1
desktop,Australia,2019-04-15,1
desktop,Australia,2019-04-25,1
desktop,Australia,2019-04-27,1
desktop,Australia,2019-05-01,2
desktop,Australia,2019-05-18,1
desktop,Australia,2019-05-30,1
desktop,Australia,2019-06-03,1
desktop,Australia,2019-06-17,2
desktop,Australia,2019-06-25,1
desktop,Australia,2019-07-10,1
desktop,Australia,2019-07-11,1
desktop,Australia,2019-07-18,2
desktop,Australia,2019-07-25,1
desktop,Australia,2019-07-29,1
desktop,Australia,2019-08-02,2
desktop,Australia,2019-08-10,1
desktop,Australia,2019-08-11,1
desktop,Australia,2019-08-12,2
desktop,Australia,2019-08-19,1
desktop,Australia,2019-08-28,1
desktop,Australia,2019-08-29,3
desktop,Australia,2019-08-30,3
desktop,Australia,2019-08-31,1
desktop,Australia,2019-09-01,1
desktop,Australia,2019-09-03,2
desktop,Australia,2019-09-04,1
desktop,Australia,2019-09-06,1
desktop,Australia,2019-09-11,1
desktop,Australia,2019-09-18,3
desktop,Australia,2019-09-19,1
desktop,Australia,2019-09-21,1
desktop,Australia,2019-10-01,1
desktop,Australia,2019-10-03,1
desktop,Australia,2019-10-18,1
desktop,Australia,2019-10-19,1
desktop,Australia,2019-10-23,1
desktop,Australia,2019-11-02,1
desktop,Australia,2019-11-11,1
desktop,Australia,2019-11-14,1
desktop,Australia,2019-11-16,1
desktop,Australia,2019-11-18,1
desktop,Australia,2019-11-21,2
desktop,Australia,2019-11-26,1
desktop,Australia,2019-11-27,1
desktop,Australia,2019-11-29,1
desktop,Australia,2019-12-01,1
desktop,Australia,2019-12-05,1
desktop,Australia,2019-12-07,1
desktop,Australia,2019-12-08,1
desktop,Australia,2019-12-10,1
desktop,Australia,2019-12-11,1
desktop,Australia,2019-12-14,2
desktop,Australia,2019-12-22,1
desktop,Australia,2019-12-23,1
desktop,Australia,2020-01-14,1
desktop,Australia,2020-02-11,2
desktop,Australia,2020-02-13,4
desktop,Australia,2020-02-25,1
desktop,Australia,2020-02-29,1
desktop,Australia,2020-03-01,1
desktop,Australia,2020-03-02,1
desktop,Australia,2020-03-12,1
desktop,Australia,2020-03-16,2
desktop,Australia,2020-03-18,1
desktop,Australia,2020-03-19,1
desktop,Australia,2020-03-30,2
desktop,Australia,2020-04-03,1
desktop,Australia,2020-04-08,1
desktop,Australia,2020-04-15,1
desktop,Australia,2020-04-17,1
desktop,Australia,2020-04-19,1
desktop,Australia,2020-04-22,1
desktop,Australia,2020-05-10,2
desktop,Australia,2020-05-13,3
desktop,Australia,2020-05-17,1
desktop,Australia,2020-05-18,1
desktop,Australia,2020-05-19,1
desktop,Australia,2020-05-21,2
desktop,Australia,2020-05-22,1
desktop,Australia,2020-05-25,2
desktop,Australia,2020-05-29,1
desktop,Australia,2020-06-01,1
desktop,Australia,2020-06-02,1
desktop,Australia,2020-06-05,1
desktop,Australia,2020-06-06,2
desktop,Australia,2020-06-07,1
desktop,Australia,2020-06-09,1
desktop,Australia,2020-06-10,3
desktop,Australia,2020-06-11,2
desktop,Australia,2020-06-12,1
desktop,Australia,2020-06-13,1
desktop,Australia,2020-06-15,1
desktop,Australia,2020-06-17,2
desktop,Australia,2020-06-22,2
desktop,Australia,2020-06-23,1
desktop,Australia,2020-06-29,2
desktop,Australia,2020-07-04,1
desktop,Australia,2020-07-05,2
desktop,Australia,2020-07-10,1
desktop,Australia,2020-07-17,2
desktop,Australia,2020-07-20,1
desktop,Australia,2020-07-21,2
desktop,Australia,2020-07-23,1
desktop,Australia,2020-07-24,1
desktop,Australia,2020-07-25,1
desktop,Australia,2020-07-26,2
desktop,Australia,2020-07-27,3
desktop,Australia,2020-07-28,1
desktop,Australia,2020-07-29,5
desktop,Australia,2020-07-30,2
desktop,Australia,2020-07-31,4
desktop,Australia,2020-08-01,1
desktop,Australia,2020-08-03,15
desktop,Australia,2020-08-04,4
desktop,Australia,2020-08-05,1
desktop,Australia,2020-08-06,6
desktop,Australia,2020-08-07,3
desktop,Australia,2020-08-08,1
desktop,Australia,2020-08-11,7
desktop,Australia,2020-08-12,1
desktop,Australia,2020-08-18,1
desktop,Australia,2020-08-20,1
desktop,Australia,2020-08-21,3
desktop,Australia,2020-08-24,1
desktop,Australia,2020-08-27,1
desktop,Australia,2020-08-28,1
desktop,Australia,2020-08-30,3
desktop,Australia,2020-08-31,6
desktop,Australia,2020-09-01,1
desktop,Australia,2020-09-03,4
desktop,Australia,2020-09-06,4
desktop,Australia,2020-09-08,3
desktop,Australia,2020-09-09,2
desktop,Australia,2020-09-10,2
desktop,Australia,2020-09-11,3
desktop,Australia,2020-09-16,1
desktop,Australia,2020-09-19,1
desktop,Australia,2020-09-20,2
desktop,Australia,2020-09-21,1
desktop,Australia,2020-09-23,1
desktop,Australia,2020-09-25,2
desktop,Australia,2020-09-26,2
desktop,Australia,2020-09-27,1
desktop,Australia,2020-09-30,1
desktop,Australia,2020-10-08,1
desktop,Australia,2020-10-09,2
desktop,Australia,2020-10-10,6
desktop,Australia,2020-10-11,1
desktop,Australia,2020-10-13,3
desktop,Australia,2020-10-14,2
desktop,Australia,2020-10-17,2
desktop,Australia,2020-10-18,4
desktop,Australia,2020-10-19,3
desktop,Australia,2020-10-20,1
desktop,Australia,2020-10-21,1
desktop,Australia,2020-10-23,1
desktop,Australia,2020-10-24,2
desktop,Australia,2020-10-26,1
desktop,Australia,2020-10-28,1
desktop,Australia,2020-11-01,1
desktop,Australia,2020-11-02,1
desktop,Australia,2020-11-06,1
desktop,Australia,2020-11-07,2
desktop,Australia,2020-11-08,1
desktop,Australia,2020-11-10,1
desktop,Australia,2020-11-16,1
desktop,Australia,2020-11-19,1
desktop,Australia,2020-11-20,1
desktop,Australia,2020-11-23,1
desktop,Australia,2020-11-29,3
desktop,Australia,2020-12-02,2
desktop,Australia,2020-12-07,1
desktop,Australia,2020-12-08,1
desktop,Australia,2020-12-09,1
desktop,Australia,2020-12-12,5
desktop,Australia,2020-12-13,2
desktop,Australia,2020-12-16,1
desktop,Australia,2020-12-17,2
desktop,Australia,2020-12-18,4
desktop,Australia,2020-12-19,5
desktop,Australia,2020-12-22,1
desktop,Australia,2020-12-23,4
desktop,Australia,2020-12-24,1
desktop,Australia,2020-12-27,1
desktop,Australia,2020-12-28,3
desktop,Australia,2020-12-29,2
desktop,Australia,2021-01-01,1
desktop,Australia,2021-01-04,1
desktop,Australia,2021-01-05,2
desktop,Australia,2021-01-07,1
desktop,Australia,2021-01-08,2
desktop,Australia,2021-01-11,4
desktop,Australia,2021-01-14,1
desktop,Australia,2021-01-15,3
desktop,Australia,2021-01-16,1
desktop,Australia,2021-01-17,3
desktop,Australia,2021-01-18,1
desktop,Australia,2021-01-20,1
desktop,Australia,2021-01-22,2
desktop,Australia,2021-01-24,1
desktop,Australia,2021-01-25,1
desktop,Australia,2021-01-27,2
desktop,Australia,2021-01-30,2
desktop,Australia,2021-01-31,1
desktop,Australia,2021-02-01,3
desktop,Australia,2021-02-02,2
desktop,Australia,2021-02-04,3
desktop,Australia,2021-02-05,5
desktop,Australia,2021-02-06,2
desktop,Australia,2021-02-08,3
desktop,Australia,2021-02-11,1
desktop,Australia,2021-02-12,3
desktop,Australia,2021-02-17,1
desktop,Australia,2021-02-19,1
desktop,Australia,2021-02-22,1
desktop,Australia,2021-02-24,1
desktop,Australia,2021-02-25,2
desktop,Australia,2021-03-01,3
desktop,Austria,2019-03-15,1
desktop,Austria,2019-07-31,1
desktop,Austria,2019-08-27,1
desktop,Austria,2019-12-17,1
desktop,Austria,2020-05-10,1
desktop,Austria,2020-05-27,4
desktop,Austria,2020-07-13,1
desktop,Austria,2020-08-10,1
desktop,Austria,2020-08-13,1
desktop,Austria,2020-09-30,1
desktop,Austria,2020-10-09,2
desktop,Austria,2020-11-10,1
desktop,Austria,2020-11-18,1
desktop,Azerbaijan,2019-11-12,1
desktop,Azerbaijan,2020-05-14,1
desktop,Azerbaijan,2021-02-24,1
desktop,Bahrain,2019-01-30,1
desktop,Bahrain,2019-01-31,1
desktop,Bahrain,2019-02-04,1
desktop,Bahrain,2019-02-22,1
desktop,Bahrain,2019-03-21,1
desktop,Bahrain,2019-04-13,1
desktop,Bahrain,2019-04-17,1
desktop,Bahrain,2019-04-18,2
desktop,Bahrain,2019-04-20,3
desktop,Bahrain,2019-07-16,1
desktop,Bahrain,2019-08-25,4
desktop,Bahrain,2019-08-26,2
desktop,Bahrain,2019-08-29,1
desktop,Bahrain,2019-09-02,1
desktop,Bahrain,2019-09-04,1
desktop,Bahrain,2019-09-12,2
desktop,Bahrain,2019-09-16,4
desktop,Bahrain,2019-11-19,1
desktop,Bahrain,2019-12-24,1
desktop,Bahrain,2020-01-09,1
desktop,Bahrain,2020-01-28,1
desktop,Bahrain,2020-02-11,1
desktop,Bahrain,2020-02-12,3
desktop,Bahrain,2020-04-01,1
desktop,Bahrain,2020-04-25,1
desktop,Bahrain,2020-05-11,1
desktop,Bahrain,2020-05-17,2
desktop,Bahrain,2020-05-23,1
desktop,Bahrain,2020-05-30,1
desktop,Bahrain,2020-06-07,1
desktop,Bahrain,2020-06-08,2
desktop,Bahrain,2020-06-10,1
desktop,Bahrain,2020-06-16,1
desktop,Bahrain,2020-06-21,1
desktop,Bahrain,2020-06-24,1
desktop,Bahrain,2020-07-11,1
desktop,Bahrain,2020-08-16,1
desktop,Bahrain,2020-09-01,1
desktop,Bahrain,2020-09-02,1
desktop,Bahrain,2020-09-04,1
desktop,Bahrain,2020-09-05,1
desktop,Bahrain,2020-09-21,1
desktop,Bahrain,2020-09-22,1
desktop,Bahrain,2020-09-23,2
desktop,Bahrain,2020-09-25,1
desktop,Bahrain,2020-09-26,1
desktop,Bahrain,2020-10-02,1
desktop,Bahrain,2020-10-03,2
desktop,Bahrain,2020-10-06,1
desktop,Bahrain,2020-10-07,1
desktop,Bahrain,2020-10-10,1
desktop,Bahrain,2020-10-12,2
desktop,Bahrain,2020-10-13,1
desktop,Bahrain,2020-10-18,1
desktop,Bahrain,2020-10-19,1
desktop,Bahrain,2020-10-20,1
desktop,Bahrain,2020-10-24,1
desktop,Bahrain,2020-10-27,2
desktop,Bahrain,2020-10-28,1
desktop,Bahrain,2020-11-01,1
desktop,Bahrain,2020-11-02,1
desktop,Bahrain,2020-11-05,1
desktop,Bahrain,2020-11-22,1
desktop,Bahrain,2020-11-27,1
desktop,Bahrain,2020-12-06,2
desktop,Bahrain,2020-12-07,1
desktop,Bahrain,2020-12-08,1
desktop,Bahrain,2020-12-14,1
desktop,Bahrain,2020-12-17,1
desktop,Bahrain,2020-12-19,1
desktop,Bahrain,2020-12-24,2
desktop,Bahrain,2020-12-29,1
desktop,Bahrain,2020-12-30,1
desktop,Bahrain,2021-01-11,1
desktop,Bahrain,2021-01-20,1
desktop,Bahrain,2021-01-25,1
desktop,Bahrain,2021-02-06,1
desktop,Bahrain,2021-02-07,1
desktop,Bahrain,2021-02-11,1
desktop,Bahrain,2021-02-24,1
desktop,Bangladesh,2019-06-19,3
desktop,Bangladesh,2019-06-26,1
desktop,Bangladesh,2019-08-30,1
desktop,Bangladesh,2019-09-19,1
desktop,Bangladesh,2019-10-13,1
desktop,Bangladesh,2019-10-18,1
desktop,Bangladesh,2019-11-02,1
desktop,Bangladesh,2019-11-25,1
desktop,Bangladesh,2019-11-27,1
desktop,Bangladesh,2019-12-22,1
desktop,Bangladesh,2019-12-31,1
desktop,Bangladesh,2020-01-01,1
desktop,Bangladesh,2020-01-12,1
desktop,Bangladesh,2020-01-15,1
desktop,Bangladesh,2020-01-22,1
desktop,Bangladesh,2020-01-24,1
desktop,Bangladesh,2020-01-28,1
desktop,Bangladesh,2020-02-02,1
desktop,Bangladesh,2020-02-14,1
desktop,Bangladesh,2020-02-25,1
desktop,Bangladesh,2020-03-02,1
desktop,Bangladesh,2020-03-03,1
desktop,Bangladesh,2020-03-09,1
desktop,Bangladesh,2020-03-11,1
desktop,Bangladesh,2020-03-12,1
desktop,Bangladesh,2020-03-28,1
desktop,Bangladesh,2020-04-04,1
desktop,Bangladesh,2020-06-09,1
desktop,Bangladesh,2020-06-14,1
desktop,Bangladesh,2020-06-26,1
desktop,Bangladesh,2020-07-13,2
desktop,Bangladesh,2020-07-20,1
desktop,Bangladesh,2020-07-24,1
desktop,Bangladesh,2020-08-05,1
desktop,Bangladesh,2020-08-10,1
desktop,Barbados,2020-01-23,1
desktop,Barbados,2020-04-02,1
desktop,Barbados,2020-05-08,1
desktop,Barbados,2020-09-01,1
desktop,Belarus,2019-06-04,1
desktop,Belarus,2019-08-23,1
desktop,Belarus,2019-09-25,1
desktop,Belarus,2019-10-10,1
desktop,Belarus,2019-11-01,1
desktop,Belgium,2019-05-26,1
desktop,Belgium,2019-11-04,1
desktop,Belgium,2019-12-18,1
desktop,Belgium,2019-12-27,1
desktop,Belgium,2020-01-07,1
desktop,Belgium,2020-01-29,1
desktop,Belgium,2020-02-16,1
desktop,Belgium,2020-04-13,1
desktop,Belgium,2020-05-18,1
desktop,Belgium,2020-06-15,1
desktop,Belgium,2020-07-17,1
desktop,Belgium,2020-09-29,1
desktop,Belgium,2020-10-19,1
desktop,Belgium,2020-12-10,2
desktop,Belgium,2020-12-12,1
desktop,Belgium,2021-01-02,1
desktop,Belgium,2021-01-17,1
desktop,Belgium,2021-01-19,2
desktop,Belgium,2021-01-25,1
