Name,Memory,Display,Camera,Battery,Processor,Rating,Price
"Redmi Note 8 Pro (Halo White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹16,999"
"Redmi Note 8 Pro (Shadow Black, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹15,999"
"Vivo Y12 (Aqua Blue, 64 GB)",3 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP + 8MP | 8MP Front Camera,5000 mAh Battery,MediaTek Helio P22 Processor,4.4,"₹12,599"
"Motorola One Fusion+ (Moonlight White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,64MP + 8MP + 5MP + 2MP | 16MP Front Camera,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 730G Processor,4.5,"₹17,499"
"OPPO A31 (Fantasy White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4.3,"₹14,990"
"OPPO A31 (Fantasy White, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4.3,"₹12,490"
"OPPO A31 (Mystery Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 2MP + 2MP | 8MP Front Camera,4230 mAh Battery,MediaTek Helio P35 ((MT6765V/CB) (4 x Cortex-A53L + 4 x Cortex-A53LL) 12 nm 64-bit Processor,4.3,"₹14,990"
"Realme Narzo 10A (So Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,4.5,"₹9,999"
"Realme Narzo 10A (So Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,4.6,"₹8,999"
"Realme Narzo 10A (So White, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.56 cm (6.52 inch) HD+ Display,12MP + 2MP + 2MP | 5MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio G70 (12 nm) Processor,4.5,"₹9,999"
"Motorola G8 Power Lite (Royal Blue, 64 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,16MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,MediaTek Helio P35 Processor,4.5,"₹9,499"
"Vivo Y11 (Mineral Blue, 32 GB)",3 GB RAM | 32 GB ROM,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Battery,SDM439 Processor,4.4,"₹11,399"
"Vivo Y11 (Agate Red, 32 GB)",3 GB RAM | 32 GB ROM,16.13 cm (6.35 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,5000 mAh Battery,SDM439 Processor,4.4,"₹9,990"
"Samsung Galaxy M11 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) HD+ Display,13MP + 5MP + 2MP | 8MP Front Camera,5000 mAh Lithium-ion Battery,Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,4.3,"₹12,750"
"OPPO A12 (Blue, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 (MT6765V/CB) Processor,4.4,"₹9,990"
"OPPO A12 (Black, 32 GB)",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.8 cm (6.22 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4230 mAh Battery,MediaTek Helio P35 (MT6765V/CB) Processor,4.4,"₹9,990"
"Redmi Note 8 Pro (Halo White, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹16,999"
"Redmi Note 8 Pro (Electric Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,4500 mAh Li-polymer Battery,MediaTek Helio G90T Processor,4.4,"₹15,999"
"Redmi K20 Pro (Flame Red, 128 GB)",6 GB RAM | 128 GB ROM,16.23 cm (6.39 inch) Full HD+ Display,48MP + 13MP + 8MP | 20MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 855 Processor,4.5,"₹24,999"
