rank,prev_rank,name,league,off,def,spi
314,313,Coritiba,Brasileiro Série A,1.11,1.36,39.54
315,314,Antalyaspor,Turkish Turkcell Super Lig,1.19,1.45,39.5
316,319,Orlando City SC,Major League Soccer,1.28,1.57,39.36
317,315,Charlton Athletic,English League Championship,1.18,1.45,39.33
318,316,SV Sandhausen,German 2. Bundesliga,1.29,1.59,39.32
319,317,Odense BK,Danish SAS-Ligaen,1.17,1.45,39.28
320,318,Konyaspor,Turkish Turkcell Super Lig,1.18,1.46,39.21
321,320,Union Santa Fe,Argentina Primera Division,1.0,1.25,39.16
322,329,New England Revolution,Major League Soccer,1.24,1.53,39.05
323,324,Asteras Tripolis,Greek Super League,1.04,1.3,39.02
324,326,Troyes,French Ligue 2,1.0,1.26,38.84
325,328,Shanghai Greenland,Chinese Super League,1.34,1.68,38.68
326,330,Henan Jianye,Chinese Super League,1.25,1.57,38.55
327,,FC Khimki,Russian Premier Liga,1.12,1.42,38.45
328,334,New York Red Bulls,Major League Soccer,1.28,1.62,38.39
329,331,Cashpoint SC Rheindorf Altach,Austrian T-Mobile Bundesliga,1.15,1.46,38.35
330,335,Hebei China Fortune FC,Chinese Super League,1.29,1.65,38.14
331,356,Nagoya Grampus Eight,Japanese J League,1.16,1.5,38.09
332,336,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.26,38.09
333,325,Almeria,Spanish Segunda Division,1.03,1.33,38.08
334,307,FC Dallas,Major League Soccer,1.22,1.56,38.08
335,337,FC Juárez,Mexican Primera Division Torneo Apertura,1.13,1.46,38.05
336,338,FC Sion,Swiss Raiffeisen Super League,1.09,1.41,37.96
337,339,Thun,Swiss Raiffeisen Super League,1.38,1.76,37.94
338,340,Huracán,Argentina Primera Division,0.95,1.24,37.93
339,342,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.27,1.63,37.86
340,343,Clermont Foot,French Ligue 2,1.01,1.32,37.68
341,321,Portland Timbers,Major League Soccer,1.33,1.72,37.65
342,344,Randers FC,Danish SAS-Ligaen,1.24,1.61,37.64
343,345,Wuhan Zall,Chinese Super League,1.17,1.53,37.62
344,,FK Volgograd,Russian Premier Liga,1.12,1.46,37.53
345,369,Elche,Spanish Segunda Division,0.95,1.26,37.52
346,346,Belenenses,Portuguese Liga,0.99,1.31,37.43
347,347,PEC Zwolle,Dutch Eredivisie,1.35,1.75,37.41
348,322,Gamba Osaka,Japanese J League,1.19,1.56,37.41
349,348,St. Truidense,Belgian Jupiler League,1.2,1.57,37.34
350,350,Hull City,English League Championship,1.29,1.69,37.27
351,351,Atromitos,Greek Super League,1.0,1.33,37.25
352,352,Benevento,Italy Serie B,1.1,1.46,37.2
353,366,Real Salt Lake,Major League Soccer,0.99,1.32,37.19
354,353,Luton Town,English League Championship,1.1,1.46,37.17
355,354,Central Córdoba Santiago del Estero,Argentina Primera Division,1.0,1.34,37.16
356,355,SV Zulte Waregem,Belgian Jupiler League,1.32,1.74,37.11
357,357,SV Darmstadt 98,German 2. Bundesliga,1.15,1.54,36.94
358,362,Kashiwa Reysol,Japanese J League,1.26,1.68,36.8
359,349,Sanfrecce Hiroshima,Japanese J League,1.02,1.38,36.77
360,358,Dalian Aerbin,Chinese Super League,1.29,1.73,36.66
361,363,Atlas,Mexican Primera Division Torneo Apertura,1.06,1.45,36.58
362,359,Málaga,Spanish Segunda Division,0.7,0.98,36.54
363,360,Las Palmas,Spanish Segunda Division,0.96,1.32,36.49
364,361,Kaizer Chiefs,South African ABSA Premier League,1.01,1.39,36.44
365,341,Puebla,Mexican Primera Division Torneo Apertura,1.0,1.38,36.39
366,364,Crotone,Italy Serie B,1.04,1.44,36.25
367,371,Vissel Kobe,Japanese J League,1.32,1.78,36.24
368,365,FC Twente,Dutch Eredivisie,1.22,1.66,36.17
369,367,Vitoria Setubal,Portuguese Liga,0.93,1.31,35.99
370,368,Peterborough United,English League One,1.23,1.69,35.85
371,370,Le Havre,French Ligue 2,0.95,1.35,35.74
372,373,Caykur Rizespor,Turkish Turkcell Super Lig,1.19,1.65,35.63
373,390,Melbourne City,Australian A-League,1.2,1.67,35.6
374,374,Caen,French Ligue 2,1.08,1.52,35.56
375,376,Tenerife,Spanish Segunda Division,0.93,1.33,35.41
376,377,Cadiz,Spanish Segunda Division,0.84,1.22,35.35
377,378,Fuenlabrada,Spanish Segunda Division,0.88,1.27,35.28
378,380,Emmen,Dutch Eredivisie,1.18,1.66,35.14
379,381,F91 Dudelange,UEFA Europa League,1.4,1.94,35.14
380,382,AC Ajaccio,French Ligue 2,0.88,1.29,34.91
381,383,OFI Crete,Greek Super League,1.06,1.52,34.85
382,384,Chongqing Lifan,Chinese Super League,1.08,1.56,34.78
383,385,1. FC Heidenheim 1846,German 2. Bundesliga,1.02,1.49,34.72
384,386,Sporting Gijón,Spanish Segunda Division,0.76,1.15,34.7
385,387,Yeni Malatyaspor,Turkish Turkcell Super Lig,1.08,1.56,34.68
386,372,Colorado Rapids,Major League Soccer,1.3,1.86,34.53
387,388,Holstein Kiel,German 2. Bundesliga,1.26,1.8,34.41
388,379,IF Elfsborg,Swedish Allsvenskan,1.22,1.75,34.37
389,407,Kristiansund BK,Norwegian Tippeligaen,1.27,1.83,34.29
390,389,Sydney FC,Australian A-League,1.1,1.61,34.25
391,375,Spezia,Italy Serie B,0.95,1.42,34.23
392,392,Houston Dynamo,Major League Soccer,1.14,1.68,34.08
393,391,1. FC Nürnberg,German 2. Bundesliga,1.05,1.56,33.99
394,393,Guangzhou RF,Chinese Super League,1.44,2.07,33.73
395,394,Orlando Pirates,South African ABSA Premier League,0.98,1.48,33.73
396,395,Aldosivi,Argentina Primera Division,0.86,1.33,33.63
397,396,Tianjin Quanujian,Chinese Super League,1.16,1.73,33.51
398,397,VfL Osnabruck,German 2. Bundesliga,1.14,1.71,33.46
399,413,Aberdeen,Scottish Premiership,1.0,1.53,33.26
400,399,Silkeborg,Danish SAS-Ligaen,1.16,1.74,33.23
401,416,Urawa Red Diamonds,Japanese J League,1.1,1.67,33.14
402,404,DC United,Major League Soccer,1.03,1.57,33.12
403,401,Real Oviedo,Spanish Segunda Division,0.91,1.43,33.09
404,402,AD Alcorcon,Spanish Segunda Division,0.95,1.48,33.04
405,403,FC Zurich,Swiss Raiffeisen Super League,1.23,1.84,32.98
406,410,Hibernian,Scottish Premiership,1.04,1.61,32.89
