_id,dynamicProperties,basisOfRecord,bed,catalogNumber,class,collectionCode,continent,country,day,decimalLatitude,decimalLongitude,earliestAgeOrLowestStage,earliestEonOrLowestEonothem,earliestEpochOrLowestSeries,earliestEraOrLowestErathem,earliestPeriodOrLowestSystem,family,fieldNumber,formation,genus,geodeticDatum,georeferenceProtocol,group,habitat,higherClassification,higherGeography,highestBiostratigraphicZone,identificationQualifier,identifiedBy,individualCount,infraspecificEpithet,institutionCode,island,islandGroup,kingdom,latestAgeOrHighestStage,latestEonOrHighestEonothem,latestEpochOrHighestSeries,latestEraOrHighestErathem,latestPeriodOrHighestSystem,lifeStage,locality,lowestBiostratigraphicZone,maximumDepthInMeters,maximumElevationInMeters,member,minimumDepthInMeters,minimumElevationInMeters,modified,month,occurrenceID,order,otherCatalogNumbers,phylum,preparations,recordNumber,recordedBy,samplingProtocol,scientificName,scientificNameAuthorship,sex,specificEpithet,stateProvince,subgenus,taxonRank,typeStatus,verbatimLatitude,verbatimLongitude,waterBody,year
8780047,"{""created"": 1552997802000, ""barcode"": ""012824361"", ""donorname"": ""Professor Dr Nick Grishin"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Eracon sarahburnsae Grishin, 2014"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK012824361,Insecta,BMNH(E),North America,Costa Rica,,,,,,,,,Hesperiidae,,,Eracon,,,,,Insecta; Lepidoptera; Hesperioidea; Hesperiidae; Pyrginae,North America; Costa Rica,,,Dr Blanca Huertas,0,,NHMUK,,,,,,,,,,,,,,,,,1591002595000,,717e3599-293b-4554-abd8-4dfcb8c35c93,Lepidoptera,NHMUK:ecatalogue:8780047,,,,,,"Eracon sarahburnsae Grishin, 2014","Grishin, 2014",,sarahburnsae,,,,PARATYPE,,,,
8780053,"{""created"": 1552997812000, ""barcode"": ""013377164"", ""donorname"": ""Dr James Scott"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Lycaena florus sandos Scott, 2008"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK013377164,Insecta,BMNH(E),North America,United States,,,,,,,,,Lycaenidae,,,Lycaena,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Lycaeninae,North America; United States,,,Dr Blanca Huertas,0,sandos,NHMUK,,,,,,,,,,,,,,,,,1589869085000,,0e550615-5dc2-49cc-b0f4-8c187837fe7b,Lepidoptera,NHMUK:ecatalogue:8780053,,,,,,"Lycaena florus sandos Scott, 2008","Scott, 2008",,florus,,,,HOLOTYPE,,,,
8780091,"{""created"": 1552997877000, ""barcode"": ""013377033"", ""donorname"": ""Hsu Y. Frank"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Prosotas dubiosa asbolodes Hsu & Yen, 2006"", ""preservative"": ""Dry - pinned""}",Specimen,,BMNH(E)808157,Insecta,BMNH(E),Asia,Taiwan,,,,,,,,,Lycaenidae,,,Prosotas,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Asia; Taiwan,,,Dr Blanca Huertas,0,asbolodes,NHMUK,,,,,,,,,,,,,,,,,1589868602000,,1f8ba866-91cb-43de-b6da-9444e7553af5,Lepidoptera,NHMUK:ecatalogue:8780091,,,,,,"Prosotas dubiosa asbolodes Hsu & Yen, 2006","Hsu & Yen, 2006",,dubiosa,,,,PARATYPE,,,,
8780079,"{""created"": 1552997857000, ""barcode"": ""013376559"", ""donorname"": ""T Larsen"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Lepidochrysops pittawayi Larsen, 1983"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK013376559,Insecta,BMNH(E),Asia,Saudi Arabia,,,,,,,,,Lycaenidae,,,Lepidochrysops,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Asia; Saudi Arabia,,,,0,,NHMUK,,,,,,,,,,,,,,,,,1589867341000,,70246cca-de07-4d8d-bd13-b70aa1dd5093,Lepidoptera,NHMUK:ecatalogue:8780079,,,,,,"Lepidochrysops pittawayi Larsen, 1983","Larsen, 1983",,pittawayi,,,,PARATYPE,,,,
8780381,"{""created"": 1552998374000, ""barcode"": ""013376892"", ""donorname"": ""Steve C. Collins"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Graphium (Arisbe) abri Smith & Vane-Wright, 2001"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK013376892,Insecta,BMNH(E),Africa,Kenya,,,,,,,,,Papilionidae,,,Graphium,,,,,Insecta; Lepidoptera; Papilionoidea; Papilionidae; Papilioninae,Africa; Kenya,,,,0,,NHMUK,,,,,,,,,,,,,,,,,1589816118000,,e53e7733-8024-47c2-b628-5d5f203bb987,Lepidoptera,NHMUK:ecatalogue:8780381,,,,,,"Graphium (Arisbe) abri Smith & Vane-Wright, 2001","Smith & Vane-Wright, 2001",,abri,,Arisbe,,PARATYPE,,,,
8780084,"{""created"": 1552997865000, ""barcode"": ""012824379"", ""donorname"": ""Mr John Tennent"", ""associatedmediacount"": 1, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Nacaduba niueensis Lachlan, 2012"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK012824379,Insecta,BMNH(E),Oceania,Niue,,,,,,,,,Lycaenidae,,,Nacaduba,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Oceania; Niue,,,Dr Blanca Huertas,0,,NHMUK,,,,,,,,,,,,,,,,,1589807316000,,10015875-68bc-46aa-b47d-0cca4db43b74,Lepidoptera,NHMUK:ecatalogue:8780084,,,,,,"Nacaduba niueensis Lachlan, 2012","Lachlan, 2012",,niueensis,,,,PARATYPE,,,,
8605586,"{""created"": 1538387951000, ""barcode"": ""012824346"", ""donorname"": ""Professor Dr Nick Grishin"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Heraclides rumiko Shiraiwa & Grishin, 2014"", ""gbifid"": 1919893161, ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK012824346,Insecta,BMNH(E),North America,United States,,,,,,,,,Papilionidae,,,Heraclides,,,,,Insecta; Lepidoptera; Papilionoidea; Papilionidae; Papilioninae,North America; United States; Texas,,,Dr Blanca Huertas,1,,NHMUK,,,,,,,,,Adult,Duval co.,,,,,,,1589199001000,,2f7e7b00-23de-424e-810e-7d6ce6c0d808,Lepidoptera,NHMUK:ecatalogue:8605586,,,,,,"Heraclides rumiko Shiraiwa & Grishin, 2014","Shiraiwa & Grishin, 2014",Male,rumiko,Texas,,,PARATYPE,,,,
8780085,"{""created"": 1552997867000, ""barcode"": ""012824380"", ""donorname"": ""Mr John Tennent"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Nacaduba niueensis Lachlan, 2012"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK012824380,Insecta,BMNH(E),Oceania,Niue,,,,,,,,,Lycaenidae,,,Nacaduba,,,,,Insecta; Lepidoptera; Papilionoidea; Lycaenidae; Polyommatinae,Oceania; Niue,,,,0,,NHMUK,,,,,,,,,,,,,,,,,1588759735000,,59e95487-8fd6-4562-be68-c5d13002895e,Lepidoptera,NHMUK:ecatalogue:8780085,,,,,,"Nacaduba niueensis Lachlan, 2012","Lachlan, 2012",,niueensis,,,,PARATYPE,,,,
8844983,"{""created"": 1557822806000, ""barcode"": ""013377004"", ""donorname"": ""Dr Torben B. Larsen"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Spialia phlomidis kiki Higgins, 1974"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK013377004,Insecta,BMNH(E),,,,,,,,,,,Hesperiidae,,,Spialia,,,,,Insecta; Lepidoptera; Hesperioidea; Hesperiidae; Pyrginae,,,,,0,kiki,NHMUK,,,,,,,,,,,,,,,,,1586337352000,,a84f91d0-e9f9-48f2-8045-65da2666dce9,Lepidoptera,NHMUK:ecatalogue:8844983,,,,,,"Spialia phlomidis kiki Higgins, 1974","Higgins, 1974",,phlomidis,,,,PARATYPE,,,,
8844982,"{""created"": 1557822805000, ""barcode"": ""013377003"", ""donorname"": ""Dr Torben B. Larsen"", ""associatedmediacount"": 2, ""project"": ""Papilionoidea New Types Digitisation Project"", ""determinationnames"": ""Spialia phlomidis kiki Higgins, 1974"", ""preservative"": ""Dry - pinned""}",Specimen,,NHMUK013377003,Insecta,BMNH(E),,,,,,,,,,,Hesperiidae,,,Spialia,,,,,Insecta; Lepidoptera; Hesperioidea; Hesperiidae; Pyrginae,,,,,0,kiki,NHMUK,,,,,,,,,,,,,,,,,1586337332000,,cec6a7fa-d6bd-4234-b444-c6560e06e6e1,Lepidoptera,NHMUK:ecatalogue:8844982,,,,,,"Spialia phlomidis kiki Higgins, 1974","Higgins, 1974",,phlomidis,,,,PARATYPE,,,,
